Date        Symbol           Mean    Median     StdDev
----------  --------  -----------  --------  ---------
2019-11-14  AAPL       0.538211     0.8957   0.685872
2019-11-13  AAPL       0.0299474   -0.5267   0.834956
2019-11-12  AAPL       0.755976     0.9783   0.457598
2019-11-11  AAPL       0.46635      0.7579   0.523389
2019-11-10  AAPL       0.44362      0.905    0.687506
2019-11-09  AAPL       0.905        0.905    0
2019-11-08  AAPL       0.223067     0.55355  0.796205
2019-11-07  AAPL       0.72203      0.9721   0.385152
2019-11-06  AAPL       0.301023     0.7785   0.781313
2019-11-05  AAPL       0.558863     0.8995   0.66509
2019-11-04  AAPL       0.523025     0.9829   0.803006
2019-11-03  AAPL       0.434125     0.8161   0.62763
2019-11-02  AAPL       0.57138      0.9259   0.76545
2019-11-01  AAPL       0.499713     0.9307   0.707263
2019-10-31  AAPL       0.514626     0.9161   0.658674
2019-10-30  AAPL       0.531287     0.9538   0.713565
2019-10-29  AAPL       0.397764     0.846    0.784821
2019-10-28  AAPL       0.842768     0.9785   0.347695
2019-10-27  AAPL       0.9747       0.9747   0
2019-10-25  AAPL       0.516181     0.9485   0.642905
2019-10-24  AAPL       0.452975     0.93495  0.757102
2019-10-23  AAPL       0.721044     0.9493   0.471769
2019-10-22  AAPL       0.638057     0.946    0.641114
2019-10-21  AAPL       0.173083     0.2732   0.625882
2019-10-20  AAPL       0.93975      0.9397   0.05375
2019-10-18  AAPL       0.0453647   -0.124    0.845626
2019-10-17  AAPL       0.723844     0.85725  0.367833
2019-10-16  AAPL      -0.1592      -0.4939   0.801948
2019-10-15  AAPL       0.84722      0.9924   0.362778
2019-10-14  AAPL       0.230367     0.7184   0.875423
2019-10-13  AAPL      -0.5167      -0.5167   0
2019-10-12  AAPL      -0.9991      -0.9991   0
2019-10-11  AAPL       0.596264     0.9716   0.703925
2019-10-10  AAPL       0.0613357    0.22965  0.84842
2019-10-09  AAPL       0.561032     0.9169   0.721818
2019-10-08  AAPL       0.495542     0.80595  0.698558
2019-10-07  AAPL      -0.08935     -0.2263   0.84181
2019-10-06  AAPL       0.9468       0.9468   0
2019-10-05  AAPL      -0.6908      -0.6908   0
2019-10-04  AAPL       0.00203235   0.1403   0.771879
2019-10-03  AAPL       0.35675      0.5267   0.720354
2019-10-02  AAPL       0.631067     0.8774   0.429106
2019-10-01  AAPL       0.179081     0.8317   0.867704
2019-09-30  AAPL       0.195606     0.5816   0.703368
2019-09-27  AAPL       0.397169     0.9743   0.757804
2019-09-26  AAPL       0.21802      0.3682   0.720164
2019-09-25  AAPL       0.46831      0.9274   0.714209
2019-09-24  AAPL       0.409822     0.6404   0.709259
2019-09-23  AAPL       0.434        0.7506   0.678858
2019-09-22  AAPL       0.994        0.994    0.0036
2019-09-21  AAPL       0.9904       0.9904   0
2019-09-20  AAPL       0.386415     0.8258   0.715178
2019-09-19  AAPL       0.619859     0.9295   0.606567
2019-09-18  AAPL       0.337614     0.9521   0.902606
2019-09-17  AAPL       0.54451      0.7845   0.565647
